iter	RMSE
0	13.93552202
1	13.08272309
2	12.28195107
3	11.55221859
4	10.92253784
5	10.29536451
6	9.749666082
7	9.285062203
8	8.856518032
9	8.437767833
10	8.098941487
11	7.813116461
12	7.557496027
13	7.301044576
14	7.062051021
15	6.874708231
16	6.704766938
17	6.551196472
18	6.40941221
19	6.297867018
20	6.188586638
21	6.084074539
22	5.983180242
23	5.915086566
24	5.845228003
25	5.784879071
26	5.731463732
27	5.679491425
28	5.614758541
29	5.561233207
30	5.511251923
31	5.474853697
32	5.430597306
33	5.388656454
34	5.363028366
35	5.334603912
36	5.315114916
37	5.294015942
38	5.270642612
39	5.251679526
40	5.230706062
41	5.214115483
42	5.197618468
43	5.183762556
44	5.170608418
45	5.147133771
46	5.125479236
47	5.109584476
48	5.091926759
49	5.083056168
50	5.060941137
51	5.049705827
52	5.032925337
53	5.018803877
54	5.005595584
55	4.988163433
56	4.983488018
57	4.962723764
58	4.959899689
59	4.950506177
60	4.939275214
61	4.928705741
62	4.921081185
63	4.905960511
64	4.890288467
65	4.872764571
66	4.861032793
67	4.855858695
68	4.848662848
69	4.835120305
70	4.82664283
71	4.814034813
72	4.801080306
73	4.79822741
74	4.793192566
75	4.777785232
76	4.771714996
77	4.761989084
78	4.754036356
79	4.737322872
80	4.722922333
81	4.711793817
82	4.710593368
83	4.698010458
84	4.690003993
85	4.680550906
86	4.667680005
87	4.662862521
88	4.646242002
89	4.645152459
90	4.637422551
91	4.630426944
92	4.623691475
93	4.621372163
94	4.617988648
95	4.611025619
96	4.602571747
97	4.592460966
98	4.581387
99	4.569482075
