iter	RMSE
0	14.50105506
1	14.15312646
2	13.79105924
3	13.43637373
4	13.10367786
5	12.77564462
6	12.49717479
7	12.18468298
8	11.88986865
9	11.59258205
10	11.30825244
11	11.0863483
12	10.83262882
13	10.58658789
14	10.34749836
15	10.13257633
16	9.925911101
17	9.749359394
18	9.560439031
19	9.376470871
20	9.190127057
21	9.024025133
22	8.854065032
23	8.695666148
24	8.539995281
25	8.40656609
26	8.278220769
27	8.14852048
28	8.015923783
29	7.884876333
30	7.764296932
31	7.653707863
32	7.557270996
33	7.460546277
34	7.365810404
35	7.276967667
36	7.182069144
37	7.08975534
38	7.006550054
39	6.930317976
40	6.856715239
41	6.791827416
42	6.728810179
43	6.664557357
44	6.60574104
45	6.553446159
46	6.490585936
47	6.434806218
48	6.382106654
49	6.335357387
50	6.288297673
51	6.243169943
52	6.201553785
53	6.161707131
54	6.124761712
55	6.085547453
56	6.042377198
57	6.014368622
58	5.981528984
59	5.94813497
60	5.91112053
61	5.879924754
62	5.849511419
63	5.819159979
64	5.799601143
65	5.776544804
66	5.749188722
67	5.725468837
68	5.703181819
69	5.684158
70	5.663514079
71	5.643298656
72	5.6202558
73	5.604863247
74	5.581124288
75	5.566444769
76	5.546813194
77	5.527331957
78	5.50996015
79	5.494685806
80	5.47801021
81	5.463188433
82	5.446836658
83	5.436299132
84	5.422313912
85	5.411345388
86	5.395615076
87	5.386001759
88	5.372967135
89	5.36419065
90	5.352670414
91	5.338664196
92	5.327546443
93	5.31846761
94	5.306825279
95	5.29780424
96	5.290188717
97	5.282606231
98	5.270012077
99	5.261406137
100	5.255547521
101	5.245183271
102	5.240248325
103	5.228578802
104	5.221198019
105	5.214817708
106	5.204594152
107	5.196615929
108	5.189335483
109	5.182591933
110	5.175739925
111	5.167733675
112	5.160083191
113	5.151641272
114	5.142244299
115	5.136779367
116	5.132398303
117	5.125312065
118	5.119245015
119	5.113612646
120	5.106227895
121	5.101646866
122	5.094495917
123	5.090014591
124	5.085799051
125	5.081794549
126	5.076588815
127	5.070591882
128	5.065307984
129	5.055245299
130	5.049400313
131	5.043774409
